mse,mae,rmse,mape,smape,mase,r2,nmse,skill_vs_persistence,skill_vs_best_baseline,beats_all_baselines,occ_accuracy,occ_precision,occ_pd,occ_mdr,occ_fdr,occ_f1,occ_balanced_acc,occ_positive_rate,model,mode,family,fit_train_mse,fit_val_mse,fit_test_mse,fit_train_skill,fit_val_skill,fit_test_skill,fit_test_skill_vs_best_baseline,fit_skill_gap_train_minus_val,fit_val_loss_diverging,fit_best_epoch_or_round,fit_verdict,train_time_s,best_val_loss,epochs_run,rounds_run,n_partitions,n_data_clients,comm_titanic_bytes,comm_fedavg_bytes,comm_ratio_titanic_over_fl
0.09876340627670288,0.19349105656147003,0.3142664574476616,46.51859700679779,171.7251420021057,0.693940665855633,0.42043455472385316,0.4532886147474218,0.5785227521022671,0.1859339847351722,True,0.849585262345679,0.7199685534591195,0.5067507746790615,0.4932492253209385,0.054908126772721666,0.5948298259288126,0.72592132395317,0.21788194444444445,itransformer_i24,federated,"iTransformer, ICLR 2024, Liu et al.",0.0612705990882161,0.09419029781488868,0.09876341078384424,0.6412585055693467,0.5979034576923349,0.5785227328678401,0.1859339475846653,0.04335504787701183,False,27,acceptable,4.0,0.09419029781488868,,38,2,4,478150656.0,169208832.0,2.825802000689893
0.1221529170870781,0.2553708553314209,0.3495038155543915,46.80444300174713,171.66812419891357,0.9158677643196926,0.28317974792195366,0.5606380810583642,0.47870696994493755,-0.006856104045789735,False,0.8390239197530864,0.6559196617336153,0.5493581230633023,0.45064187693669766,0.08028116907140215,0.5979282100698627,0.7345384769959502,0.21788194444444445,timesnet_i23,centralized,"TimesNet, ICLR 2023, Wu et al.",0.05524374007758612,0.11458501571077641,0.12215291092425216,0.6765459752590641,0.5108388052013387,0.4787069962450724,-0.006856053248158078,0.1657071700577254,True,5,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,0.7,0.11458501571077641,18,,,,,,
0.14207924902439117,0.28013452887535095,0.3769340114985529,55.31576871871948,175.16814470291138,1.004680758643526,0.1662476383750866,0.6520927983608048,0.3936704583233601,-0.17110063803447995,False,0.8247251157407407,0.6478661087866109,0.4283975210270031,0.5716024789729969,0.06486619805154767,0.515755112917194,0.6817656614877278,0.21788194444444445,timesnet_i23,federated,"TimesNet, ICLR 2023, Wu et al.",0.06514517168451107,0.13134267211444978,0.14207925463532223,0.6185727478950392,0.4393006972070368,0.39367043437846116,-0.17110068428307001,0.17927205068800245,False,6,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,1.6,0.13134267211444978,,17,1,4,213909504.0,653496320.0,0.32733084709643046
0.1250918060541153,0.25529414415359497,0.3536832001298836,50.04505515098572,173.06344509124756,0.9155926456306684,0.26593369944094003,0.574126527427179,0.46616513000238335,-0.03108015342698356,False,0.8368778935185185,0.6707775605354188,0.49358123063302345,0.5064187693669766,0.06748674312492292,0.5686962065667835,0.7130472437540503,0.21788194444444445,scinet_n22,centralized,"SCINet, NeurIPS 2022, Liu et al.",0.04726406052758049,0.12054419989992933,0.12509181497641553,0.7232672773100718,0.4853991642508232,0.4661650919260686,-0.0310802269698236,0.2378681130592486,True,8,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,0.9,0.12054419989992933,21,,,,,,
0.1281406283378601,0.2547943592071533,0.35796735652550793,53.27390432357788,174.47543144226074,0.9138002056870261,0.24804253801728615,0.5881195282936927,0.45315414472022464,-0.05621033778722273,False,0.8321759259259259,0.6821691821691822,0.4301682160247897,0.5698317839752103,0.055833025033912936,0.5276231844712909,0.6871675954954384,0.21788194444444445,scinet_n22,federated,"SCINet, NeurIPS 2022, Liu et al.",0.04948926566919284,0.11910156366544042,0.12814061380462882,0.7102386236034637,0.4915577501684064,0.45315420674143836,-0.05621021799579262,0.21868087343505727,False,16,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,3.1,0.11910156366544042,,27,1,4,339738624.0,539025408.0,0.6302831350020517
0.11376530677080154,0.24129600822925568,0.3372911305842499,48.30746948719025,172.35634326934814,0.8653894169300815,0.3324000947185821,0.5221419578013939,0.5145014716315078,0.062279507666866074,True,0.8442081404320988,0.6987189381077327,0.500996015936255,0.499003984063745,0.0601800468615119,0.5835642926200452,0.7204079845373715,0.21788194444444445,informer_a21,centralized,"Informer, AAAI 2021, Zhou et al.",0.061796713441264375,0.11078419481835715,0.1137653061269242,0.6381780876843801,0.5270644353801079,0.5145014743792832,0.06227951297408141,0.11111365230427217,True,5,diverging (val loss rising while train falls),1.1,0.11078419481835715,18,,,,,,
0.12955403327941895,0.2645680606365204,0.35993615167056914,52.23151445388794,173.92675876617432,0.9488528277476972,0.23974836616566908,0.5946065500782735,0.4471223759974624,-0.06786045165132726,False,0.8351900077160493,0.6819910699520423,0.4563966356795042,0.5436033643204958,0.05928597854236034,0.5468408141616389,0.6985553285685719,0.21788194444444445,informer_a21,federated,"Informer, AAAI 2021, Zhou et al.",0.06510669258647099,0.12373313531885302,0.1295540314397694,0.6187980443559955,0.47178566121135224,0.4471223838482491,-0.067860436487855,0.14701238314464327,False,5,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,2.7,0.12373313531885302,,16,1,4,201326592.0,609681408.0,0.33021605933569814
0.15631957352161407,0.29626625776290894,0.39537270204405117,49.8782753944397,172.92555570602417,1.0625359530104974,0.0826822742463218,0.7174507807172983,0.33289923743771543,-0.2884777583319895,False,0.8159239969135802,0.5844781875150639,0.5367419212040726,0.4632580787959274,0.10630164015291652,0.5595938617745472,0.7152201405255781,0.21788194444444445,autoformer_n21,centralized,"Autoformer, NeurIPS 2021, Wu et al.",0.041276303380974884,0.14667005128249888,0.156319565979051,0.7583258042222762,0.37386841480547417,0.3328992696259403,-0.28847769616175345,0.3844573894168021,True,7,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,10.0,0.14667005128249888,20,,,,,,
0.17608274519443512,0.31468284130096436,0.41962214573880047,51.6299843788147,173.545503616333,1.1285856013523783,-0.033292374891810805,0.808156650920782,0.24855901953297987,-0.45137742956865523,False,0.8100887345679012,0.5682031984948259,0.5347498893315626,0.46525011066843736,0.11320754716981132,0.5509692132269098,0.7107711710808757,0.21788194444444445,autoformer_n21,federated,"Autoformer, NeurIPS 2021, Wu et al.",0.041057963542034774,0.1684445028867179,0.17608275200113838,0.7596041915937193,0.2809137060528909,0.2485589904850697,-0.4513774856735022,0.4786904855408284,False,13,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,29.3,0.1684445028867179,,24,2,4,301989888.0,815935488.0,0.37011490790801344
0.1643618792295456,0.30558210611343384,0.40541568695543295,52.232182025909424,173.8811731338501,1.0959465205181467,0.03548825103082531,0.7543620796604524,0.29857833859149185,-0.35476716660588914,False,0.8138744212962963,0.583661542370728,0.5084108012394865,0.49158919876051355,0.10102972006412628,0.5434435440941622,0.70369054058768,0.21788194444444445,fedformer_i22,centralized,"FEDformer, ICML 2022, Zhou et al.",0.0443709185949309,0.15663083842614803,0.16436187766584348,0.7402067242220298,0.33134600897344946,0.2985783452646604,-0.3547671537169377,0.40886071524858036,True,5,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,0.7,0.15663083842614803,18,,,,,,
0.1826505959033966,0.3233168125152588,0.42737641009231736,53.75269651412964,174.31068420410156,1.1595506694020348,-0.07183397105731726,0.8383007302105553,0.2205304232565345,-0.5055135135400701,False,0.8021797839506173,0.5497726728882508,0.5085214696768482,0.4914785303231518,0.11601307189542484,0.5283431068184432,0.6962541988907116,0.21788194444444445,fedformer_i22,federated,"FEDformer, ICML 2022, Zhou et al.",0.04761000605883883,0.17402130159420695,0.18265058744100876,0.7212417541599465,0.2571064612575279,0.2205304593701526,-0.5055134437880981,0.4641352929024186,False,7,UNDERFITTING — beats persistence but LOSES to a non-learned baseline; no practical value,1.6,0.17402130159420695,,18,2,4,226492416.0,682656768.0,0.3317808108217569
0.10067085176706314,0.1961999535560608,0.3172867027895483,47.42121994495392,172.08598852157593,0.7036559148059814,0.40924124399636164,0.46204310547052657,0.5703826432694512,0.17021169843287476,True,0.8505979938271605,0.7276370631612696,0.502324037184595,0.49767596281540505,0.05238007152546553,0.5943433285321461,0.7249719828295647,0.21788194444444445,crossformer_i23,centralized,"Crossformer, ICLR 2023, Zhang & Yan",0.06623200282676896,0.09441771673235466,0.10067085323878276,0.6122093136546459,0.5969326107740234,0.5703826369888219,0.17021168630209704,0.01527670288062255,False,99,acceptable,3.4,0.09441771673235466,100,,,,,,
0.10243190079927444,0.2066849172115326,0.32004984111740226,49.71069395542145,172.79425859451294,0.7412594236701688,0.39890701996557887,0.47012568895369317,0.5628672878610941,0.15569609774245574,True,0.8498505015432098,0.731880468878983,0.4905931828242585,0.5094068171757415,0.050067825872487356,0.5874246339362618,0.7202626784758855,0.21788194444444445,crossformer_i23,federated,"Crossformer, ICLR 2023, Zhang & Yan",0.06800221712336216,0.09656911779467653,0.10243189555627329,0.6018446472131114,0.5877483216450434,0.5628673102358357,0.15569614095835138,0.014096325568067947,False,39,acceptable,3.4,0.09656911779467653,,40,3,4,1006632960.0,97177600.0,10.358693361433087
